NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210051411824,2021,12,M,1,3,1,2,0,2,,0,,,,,,,,2914703,Itaberaba,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,H,B,F,B,2.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
210051328060,2021,8,F,1,2,1,1,7,1,,0,,,,,,,,2903201,Barreiras,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,B,C,C,C,3.0,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
210051226889,2021,3,F,1,3,1,1,1,1,,0,,,,,,,,2910602,Esplanada,29,BA,1,1,1,1,910.0,879.0,889.0,900.0,452.3,461.5,548.1,562.0,BCEECCDEDDCBBEDEABCCCBBADACECDCBDEEBBAECBDBCD,BDCCCADBBDEDBCAECABBDBCEABCBACBADACCBEDAABCEB,CAAAE99999CCADEADEEDCDBDEADBEEDBBCBEDCABDEDADEBBDC,BBDACEDCEBCDCABDEDABBCCABEDDCBEDCBEDBCECADADB,0,ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE,BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB,CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC,DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE,1.0,140.0,200.0,160.0,160.0,200.0,860.0,E,G,B,D,6.0,F,A,B,D,B,A,B,A,B,A,A,A,A,B,A,A,E,A,B,B
210053049537,2021,4,F,1,2,1,2,0,2,1.0,0,,,,,,,,2906873,Capim Grosso,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,B,F,F,4.0,B,A,B,D,A,B,B,A,A,A,A,A,A,B,A,A,D,A,A,B
210051491793,2021,3,F,1,3,1,2,0,2,1.0,0,2927408.0,Salvador,29.0,BA,2.0,1.0,1.0,2927408,Salvador,29,BA,1,1,1,1,909.0,881.0,892.0,899.0,398.3,466.2,473.4,363.5,BAABCDBDCAADBDCBAACEAEDEECECEBDDDAADEBDADBBEA,BDEBEBEBBACBAAAAEBEAABDAADBABBAADECCAEDDBEADC,99999AACECAABDCEDEDDABACACDEADBBCBEEBCEACEEDBBAABC,BCCBCDCECDAAAEECDADAABEDBECADABBBCEAAADBEBEDD,1,EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD,BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA,ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC,EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB,1.0,120.0,120.0,120.0,120.0,100.0,580.0,C,H,C,F,2.0,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,B,D,A,A,B
210051589915,2021,1,F,1,3,1,3,0,1,,1,,,,,,,,2907806,Cícero Dantas,29,BA,1,1,1,1,911.0,880.0,890.0,902.0,529.5,487.0,418.9,432.8,CDABBCDBECCEADADBCAECBBCDBDEACEBECABDCDEDDBCC,CBADABEDBCDBDCEDECBDEDACDAAABDBDBEBECDCBBBDBD,ACACE99999EADDEBBACDBCEADCCBECDBDEBBDEA*DDEDEDAECD,BEABCDEBADCCDCCADEBDDBECADBDADAEBCBCADEACDDCE,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,120.0,180.0,100.0,120.0,100.0,620.0,B,E,B,A,5.0,B,A,B,C,A,A,B,A,A,A,B,A,A,B,B,A,E,A,A,B
210052151616,2021,3,M,1,3,1,2,0,2,1.0,0,,,,,,,,2905008,Caculé,29,BA,1,1,1,1,912.0,882.0,891.0,901.0,502.7,612.8,502.3,569.3,AAEBCDCBECCEBEBADABCCEBCBBCBDEADCEACCCDCCBCCA,EABAEBCBBADBEABEECAADBDDABBCCDADBCDDDEBBCAEEE,99999DCACAECDADAADADCCCADCAEEBDDDEEDDACBACADEBBAEE,DACAECDBBDABAABCDBEABBADAABCDCACEBADBAEADDADC,1,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,160.0,200.0,180.0,200.0,180.0,920.0,B,D,B,B,3.0,B,A,B,C,A,A,B,B,B,A,B,A,A,B,A,A,D,A,A,B
210052266623,2021,4,F,1,3,1,2,0,2,,0,2927408.0,Salvador,29.0,BA,2.0,1.0,1.0,2927408,Salvador,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,H,B,F,A,4.0,C,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,D,A,A,B
210053641624,2021,4,M,1,3,1,1,2,1,,0,,,,,,,,2927408,Salvador,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,F,F,D,C,3.0,K,A,D,E,C,A,B,B,B,A,B,A,A,E,A,A,D,B,B,B
210053130450,2021,3,M,1,3,1,2,0,3,1.0,0,2919207.0,Lauro de Freitas,29.0,BA,4.0,1.0,1.0,2919207,Lauro de Freitas,29,BA,1,1,1,1,912.0,882.0,891.0,901.0,417.4,572.0,534.1,494.1,DDACEEDAEAADCEBABDCDAABCDCADEEBAAADEDCCBABABE,CECBADECBAABBDBCDCBBAEACBBABCDAADCAEBEBBCAEBA,99999ACAEEDEBBAEBDACCBDAAECADDBBAACCBAADDDECCBBBDB,CDDAEBDCBEBCDEAAAEECADAEADEBBDDACDBADABCCBDCA,1,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,100.0,40.0,40.0,140.0,40.0,360.0,D,F,C,C,4.0,O,A,E,D,C,A,B,B,B,A,B,A,A,D,A,B,E,A,C,B
